Ace Hotel NY, 20 West 29th Street New York, NY 10001
Affinia Dumont New York, 150 East 34th Street New York, NY 10016
Affinia Fifty, 155 E. 50th Street New York, NY 10022
Affinia Manhattan New York, 371 Seventh Avenue New York, NY 10001
Affinia Shelburne New York, 303 Lexington Avenue New York, NY 10016
AKA Central Par,k 42 West 58th Street New York, NY 10019
AKA Sutton Place, 330 East 56th Street New York, NY 10022
AKA Times Square, 123 West 44th Street New York, NY 10036
AKA United Nations, 234 East 46th Street New York, NY 10017
Algonquin Hotel, 59 W. 44th Street New York, NY
Allie's Inn Bed and Breakfast, 313 West 136th Street New York, NY 10030
Americana Inn, 69 West 38th St New York, NY
Ameritania Hotel, 230 W 54TH St New York, NY
Amsterdam Court, 226 W 50TH St New York, NY
Amsterdam Inn, 340 Amsterdam Avenue New York, NY
Andaz 5th Avenue A Hyatt Hotel, 485 5th Ave New York, NY 10017
Andaz Wall Street A Hyatt Hotel, 75 Wall St New York, NY 10005
Aspen Hotel, 2688 Broadway New York, NY
Atrium, 160 Bleecker St New York, NY
Avalon Hotel, 16 East 32ND St New York, NY
Bedford Hotel, 118 East 40TH St New York, NY
Beekman Tower Hotel, 49th Street and First Ave New York, NY 10017
Belleclaire New York, 250 West 77th St New York, NY
Belvedere Hotel, 319 West 48th New York, NY
Bentley Hotel, 500 E 62ND St New York, NY
Best Western Bowery Hanbee Hotel, 231 Grand St. New York, NY 10013-4246
Best Western Convention Center Hotel, 522 West 38th St New York, NY
Best Western Hospitality House, 145 East 49th St New York, NY
Best Western President Hotel, 234 West 48th St New York, NY
Best Western Plus Seaport Inn, 33 Peck Slip New York, NY
Blakely New York, 136 West 55th St New York, NY
Bowery Hotel, 335 Bowery New York, NY
BridgeStreet Herald Towers, 50 West 34th St New York, NY
Bridgestreet LongAcre, 305 West 50Th street New York, NY 10019
BridgeSt, 777 Sixth Avenue 777 Sixth Avenue New York, NY      
